var hq_str_sh600000="浦发银行,15.20,15.25,15.43,16.25,15.11,15.44,15.45,491999937,7692348549,69900,15.44,10100,15.43,379910,15.42,302700,15.41,690225,15.40,160000,15.45,28500,15.46,10300,15.47,82000,15.48,75100,15.49,2015-01-09,15:03:07,00";
var hq_str_sh600004="白云机场,11.33,11.32,11.37,11.63,11.25,11.36,11.37,15393854,176458913,36400,11.36,155062,11.35,1000,11.34,11100,11.32,7000,11.31,6400,11.37,43600,11.38,22000,11.39,14200,11.40,2700,11.41,2015-01-09,15:03:07,00";
var hq_str_sh600005="武钢股份,3.52,3.56,3.51,3.63,3.50,3.50,3.51,102063548,363587456,2438150,3.50,426800,3.49,565700,3.48,466200,3.47,243800,3.46,287730,3.51,718790,3.52,808692,3.53,360239,3.54,745890,3.55,2015-01-09,15:03:07,00";
var hq_str_sh600006="东风汽车,5.99,6.01,5.93,6.08,5.92,5.92,5.93,18772407,112837363,117400,5.92,213300,5.91,374400,5.90,45000,5.89,76500,5.88,44400,5.93,22983,5.94,27900,5.95,43700,5.96,6600,5.97,2015-01-09,15:03:07,00";
var hq_str_sh600007="中国国贸,14.75,14.82,14.67,15.15,14.61,14.68,14.69,3045328,45284856,1000,14.68,10002,14.66,300,14.65,3500,14.64,4700,14.63,27100,14.69,14316,14.70,12500,14.72,100,14.74,1000,14.76,2015-01-09,15:03:07,00";
var hq_str_sh600008="首创股份,12.46,12.65,12.23,12.84,12.20,12.24,12.25,52016176,650839937,5100,12.24,5785,12.23,300,12.22,14700,12.21,151067,12.20,1340,12.25,5500,12.26,28100,12.27,87500,12.28,223400,12.29,2015-01-09,15:03:07,00";
var hq_str_sh600009="上海机场,19.86,20.00,19.95,20.48,19.83,19.93,19.95,22473207,453089255,12075,19.93,11600,19.92,45231,19.91,209100,19.90,6500,19.89,100,19.95,7800,19.98,12958,19.99,35500,20.00,24200,20.01,2015-01-09,15:03:07,00";
var hq_str_sh600010="包钢股份,4.20,4.22,4.18,4.28,4.14,4.18,4.19,315758918,1329508457,791555,4.18,2990276,4.17,3042953,4.16,3566100,4.15,6076443,4.14,1218800,4.19,1712512,4.20,770189,4.21,1297815,4.22,720800,4.23,2015-01-09,15:03:07,00";
var hq_str_sh600011="华能国际,8.65,8.66,8.56,8.96,8.53,8.56,8.58,67801755,591289826,76500,8.56,28362,8.55,79283,8.54,118100,8.53,200000,8.52,17400,8.58,34700,8.59,89044,8.60,118400,8.61,11000,8.62,2015-01-09,15:03:07,00";
var hq_str_sh600012="皖通高速,6.30,6.31,6.27,6.43,6.22,6.27,6.28,8559849,54040511,13200,6.27,49300,6.26,79700,6.25,56786,6.24,42000,6.23,13500,6.28,23800,6.29,8487,6.30,18200,6.31,9100,6.32,2015-01-09,15:03:07,00";
var hq_str_sh600015="华夏银行,12.63,12.65,12.84,13.58,12.52,12.83,12.84,230177628,3010164768,126131,12.83,94748,12.82,180900,12.81,300721,12.80,171900,12.79,46300,12.84,33370,12.85,28490,12.86,73540,12.87,166500,12.88,2015-01-09,15:03:07,00";
var hq_str_sh600016="XD民生银,10.13,10.13,10.20,10.68,10.04,10.22,10.23,768649787,7966614717,368807,10.22,187700,10.21,490580,10.20,364300,10.19,758257,10.18,221594,10.23,349732,10.24,484820,10.25,580920,10.26,110500,10.27,2015-01-09,15:03:07,00";
var hq_str_sh600017="日照港,4.70,4.75,4.76,4.88,4.66,4.76,4.77,83750237,402705839,41300,4.76,420400,4.75,247400,4.74,149300,4.73,169900,4.72,121369,4.77,523500,4.78,129770,4.79,497090,4.80,394800,4.81,2015-01-09,15:03:07,00";
var hq_str_sh600018="上港集团,6.73,6.73,6.59,6.85,6.57,6.59,6.60,118194225,793637444,158300,6.59,332877,6.58,291700,6.57,171500,6.56,429000,6.55,46200,6.60,103900,6.61,109800,6.62,132920,6.63,21200,6.64,2015-01-09,15:03:07,00";
var hq_str_sh600019="宝钢股份,6.77,6.79,6.63,6.95,6.58,6.64,6.65,192657575,1294452129,39700,6.64,50600,6.63,36400,6.62,547195,6.61,1688826,6.60,228468,6.65,38544,6.66,55900,6.67,96950,6.68,26500,6.69,2015-01-09,15:03:07,00";
var hq_str_sh600020="中原高速,4.01,4.03,4.01,4.08,4.01,4.01,4.02,20112936,81327738,519224,4.01,784100,4.00,95800,3.99,144900,3.98,38400,3.97,74875,4.02,217642,4.03,191842,4.04,156201,4.05,72754,4.06,2015-01-09,15:03:07,00";
var hq_str_sh600021="上海电力,8.55,8.72,8.50,9.04,8.44,8.49,8.50,56065399,485507596,35400,8.49,67700,8.48,13000,8.47,27500,8.46,46800,8.45,139400,8.50,17300,8.51,46600,8.52,31500,8.53,3300,8.54,2015-01-09,15:03:07,00";
var hq_str_sh600022="山东钢铁,3.10,3.13,3.08,3.15,3.06,3.08,3.09,66482058,206471648,1074532,3.08,1060700,3.07,1539214,3.06,1863000,3.05,376400,3.04,580701,3.09,551810,3.10,175927,3.11,628100,3.12,663600,3.13,2015-01-09,15:03:07,00";
